,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
HDQ-P1,HDQ-P1,Breast,72,NA,HDQ-P1,985,NA,HDQ-P1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-151,HEC-151,Uterus,36,NA,HEC-151,1015,NA,HEC-151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-1-A,HEC-1-A,Uterus,46,NA,HEC-1-A,562,0.793675138,HEC-1-A,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,7.503934487,1.36225791,-0.982434321,1.352608226,endometrium,HEC-1-A,Uterus,Endometrium,Uterus,Adenocarcinoma,71,Years,Female,NA,106,TRUE,"McCoys 5A, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HEC-1-A,NA
HEC-1,HEC-1-B,Uterus,41,HEC-1,HEC-1-B,943,-0.161577048,HEC-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,7.503934487,1.36225791,-0.982434321,1.352608226,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-251,HEC-251,Uterus,48,NA,HEC-251,571,NA,HEC-251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-265,HEC-265,Uterus,27,NA,HEC-265,545,NA,HEC-265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-59,HEC-59,Uterus,43,NA,HEC-59,499,NA,HEC-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEC-6,HEC-6,Uterus,58,NA,HEC-6,1748,NA,HEC-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEL,HEL,Blood,36,HEL,NA,NA,-0.625378711,HEL,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,haematopoietic_and_lymphoid_tissue,HEL,Lymphoid,NA,Blood,Erythroleukemia,30,Years,Male,NA,582,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",HEL,HEL
Hep 3B2.1-7,Hep 3B2.1-7,Liver,42,NA,Hep 3B2.1-7,937,NA,Hep 3B2.1-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hep G2,Hep G2,Liver,29,NA,Hep G2,4323,-0.083858454,Hep G2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,liver,Hep G2,Liver,NA,Liver,Carcinoma Hepatocellular,15,Years,Male,Caucasian,72,TRUE,"EMEM ATCC, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hep G2,NA
HGC-27,HGC-27,Stomach,17,HGC-27,HGC-27,236,-0.744764204,HGC-27,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,4.882076793,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,stomach,HGC-27,Stomach,NA,Stomach,Carcinoma,NA,NA,NA,NA,67,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HGC-27,HGC-27
HLF,HLF,Liver,25,NA,HLF,440,NA,HLF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMV-II,HMVII,Skin,47,HMV-II,NA,1423,NA,HMV-II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HN,HN,Head and Neck,53,HN,NA,873,0.857662174,HN,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,6.976245921,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,upper_aerodigestive_tract,HN,Head-Neck,NA,Oral Cavity,Carcinoma Squamous Cell,NA,NA,NA,NA,255,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HN,HN
HOP-62,HOP-62,Lung,36,HOP-62,NA,624,-0.458612256,HOP-62,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,lung,HOP-62,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,365,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,HOP-62
HOP-92,HOP-92,Lung,55,HOP-92,NA,409,-0.589441815,HOP-92,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,HOP-92,Lung,NA,Lung,Carcinoma Large Cell,NA,NA,NA,NA,344,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,HOP-92
HPAC,HPAC,Pancreas,30,NA,HPAC,300,0.84369019,HPAC,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,HPAC,Pancreas,NA,Pancreas,Adenocarcinoma,64,Years,Female,Caucasian,322,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,HPAC,NA
HPAF-II,HPAF-II,Pancreas,57,HPAF-II,HPAF-II,1858,1.064672447,HPAF-II,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,pancreas,HPAF-II,Pancreas,NA,Pancreas,Adenocarcinoma,NA,NA,Male,Caucasian,423,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,HPAF-II,HPAF-II
Hs 294T,Hs 294T,Skin,36,NA,Hs 294T,385,-0.331670597,Hs 294T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,skin,Hs 294T,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,223,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 294T,NA
Hs-578-T,Hs 578T,Breast,75,Hs-578-T,Hs 578T,911,-0.817658987,Hs-578-T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,breast,Hs 578T,Breast,NA,Breast,Carcinoma,74,Years,Female,Caucasian,544,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 578T,Hs-578-T
Hs 683,Hs 683,Brain,55,NA,Hs 683,1394,-0.845189584,Hs 683,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,central_nervous_system,Hs 683,Brain,NA,Brain,Glioma,NA,NA,NA,NA,283,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,Hs 683,NA
Hs 695T,Hs 695T,Skin,56,NA,Hs 695T,2846,NA,Hs 695T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 695T,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,128,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 695T,NA
Hs 746T,Hs 746T,Stomach,47,NA,Hs 746T,951,-0.671220837,Hs 746T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,4.882076793,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,stomach,Hs 746T,Stomach,NA,Stomach,Carcinoma,NA,NA,NA,NA,594,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 746T,NA
Hs 766T,Hs 766T,Pancreas,60,NA,Hs 766T,1080,-0.178836394,Hs 766T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,pancreas,Hs 766T,Pancreas,NA,Pancreas,Carcinoma,46,Years,Male,Caucasian,422,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,Hs 766T,NA
Hs 852.T,Hs 852.T,Skin,63,NA,Hs 852.T,2724,-0.773925652,Hs 852.T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,skin,Hs 852.T,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,605,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 852.T,NA
HT,HT,Lymphoid,35,HT,HT,3554,-0.963331706,HT,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,haematopoietic_and_lymphoid_tissue,HT,Lymphoid,Ascites,Lymph Node,Lymphoma Diffuse Mixed,70,Years,Male,Caucasian,478,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine",90% Complete Growth Media; 10% DMSO,HT,HT
HT-1080,HT-1080,Bone,23,HT-1080,HT-1080,186,-0.707864961,HT-1080,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,soft_tissue,HT-1080,Lung,NA,Lung,Fibrosarcoma,35,Years,Male,Caucasian,151,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",HT-1080,HT-1080
HT-29,HT-29,Colon,30,HT-29,HT-29,1247,NA,HT-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,HT-29,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,Female,Caucasian,172,TRUE,"McCoys 5A, 10% FBS, 2mM L-Glutamine","50% FBS, 40% media, 10% DMSO",HT-29,HT-29
HT-3,HT-3,Cervix,62,HT-3,NA,912,NA,HT-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HT55,HT-55,Colon,60,HT55,NA,3122,NA,HT55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,HT-55,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,NA,NA,261,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HT55,HT55
HuCCT1,HuCCT1,Liver,36,HuCCT1,HuCCT1,448,NA,HuCCT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
huH-1,huH-1,Liver,40,NA,huH-1,1221,0.030100455,huH-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,liver,huH-1,Liver,NA,Liver,Carcinoma Hepatocellular,53,Years,Male,Japanese,250,TRUE,"DMEM, 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",huH-1,NA
HuH-7,HUH-7,Liver,60,HuH-7,NA,958,-0.185215293,HuH-7,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,liver,HuH-7,Liver,NA,Liver,Carcinoma Hepatocellular,57,Years,Male,Japanese,162,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine ",90% FBS; 10% DMSO,HuH-7,HuH-7
HuP-T3,HUP-T3,Pancreas,55,HuP-T3,HUP-T3,1008,0.738347089,HuP-T3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,pancreas,HUP-T3,Pancreas,NA,Pancreas,Adenocarcinoma,66,Years,Male,Japanese,421,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HUP-T3,HuP-T3
HuP-T4,HUP-T4,Pancreas,60,HuP-T4,HUP-T4,901,1.158520548,HuP-T4,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,HUP-T4,Pancreas,Ascites,Pancreas,Carcinoma,60,Years,Male,Japanese,323,TRUE,"EMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HUP-T4,HuP-T4
IGR-1,IGR-1,Skin,18,IGR-1,NA,288,NA,IGR-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGR-37,IGR-37,Skin,31,NA,IGR-37,1776,-0.296617681,IGR-37,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,skin,IGR-37,Skin,NA,Skin,Melanoma,26,Years,Male,NA,65,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",IGR-37,NA
IGR-39,IGR-39,Skin,45,NA,IGR-39,455,NA,IGR-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGROV-1,IGROV-1,Ovary,33,IGROV-1,IGROV1,711,0.075189119,IGROV-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,ovary,IGROV-1,Ovary,NA,Ovary,Carcinoma,47,Years,Female,NA,139,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",IGROV1,IGROV-1
IMR-32,IMR-32,Brain,37,NA,IMR-32,2673,-0.885252307,IMR-32,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,autonomic_ganglia,IMR-32,Brain,NA,Brain,Neuroblastoma,1,Years,Male,Caucasian,282,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",IMR-32,NA
IPC-298,IPC-298,Skin,26,IPC-298,IPC-298,440,-0.76020128,IPC-298,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,skin,IPC-298,Skin,NA,Skin,Melanoma,64,Years,Female,NA,604,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",IPC-298,IPC-298
JHH-2,JHH-2,Liver,52,NA,JHH-2,388,-0.041478204,JHH-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,liver,JHH-2,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,161,TRUE,"Williams Media E, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JHH-2,NA
JHH-4,JHH-4,Liver,63,NA,JHH-4,1482,-0.524024072,JHH-4,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,liver,JHH-4,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,63,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JHH-4,NA
JHH-5,JHH-5,Liver,25,NA,JHH-5,624,0.146122769,JHH-5,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,liver,JHH-5,Liver,NA,Liver,Carcinoma Hepatocellular,50,Years,Male,NA,160,TRUE,"Williams Media E, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JHH-5,NA
JHH-7,JHH-7,Liver,30,NA,JHH-7,1366,-0.245311539,JHH-7,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,liver,JHH-7,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,159,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JHH-7,NA
K-562,K-562,Blood,16,K-562,NA,1605,-0.672308773,K-562,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,haematopoietic_and_lymphoid_tissue,K-562,Lymphoid,NA,Blood,Leukemia Chronic Myelogenic,NA,NA,NA,NA,307,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",K-562,NA
